qSpecies,qCaretaker,count
Lophostemon confertus :: Brisbane Box,DPW,467
Lophostemon confertus :: Brisbane Box,Private,1204
Lophostemon confertus :: Brisbane Box,others,56
Metrosideros excelsa :: New Zealand Xmas Tree,DPW,348
Metrosideros excelsa :: New Zealand Xmas Tree,Private,1538
Metrosideros excelsa :: New Zealand Xmas Tree,others,51
Pittosporum undulatum :: Victorian Box,DPW,257
Pittosporum undulatum :: Victorian Box,Private,1387
Pittosporum undulatum :: Victorian Box,others,25
Platanus x hispanica :: Sycamore: London Plane,DPW,625
Platanus x hispanica :: Sycamore: London Plane,Private,1895
Platanus x hispanica :: Sycamore: London Plane,others,113
Tristaniopsis laurina :: Swamp Myrtle,DPW,324
Tristaniopsis laurina :: Swamp Myrtle,Private,1233
Tristaniopsis laurina :: Swamp Myrtle,others,20
